participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
21,109,numeric,0.03,0.05,competitor,competitor,0,6.15
21,110,numeric,0.03,0.05,competitor,target,1,10.644
21,111,numeric,0.1,0.05,competitor,competitor,0,10.143
21,112,perceptual,0.1,0.05,target,target,1,5.597
21,113,numeric,0.03,0.05,target,target,1,13.829
21,114,perceptual,0.1,0.05,competitor,competitor,0,7.154
21,115,perceptual,0.1,0.05,target,target,1,9.107
21,116,numeric,0.03,0.05,target,target,1,5.357
21,117,perceptual,0.03,0.05,competitor,competitor,0,8.552
21,118,numeric,0.03,0.2,competitor,competitor,0,3.673
21,119,numeric,0.1,0.2,competitor,competitor,0,6.59
21,120,numeric,0.1,0.2,target,target,1,9.065
21,121,perceptual,0.1,0.05,target,target,1,6.591
21,122,numeric,0.03,0.2,competitor,target,1,9.79
21,123,numeric,0.03,0.2,target,target,1,8.651
21,124,perceptual,0.1,0.05,competitor,target,1,7.938
21,125,numeric,0.03,0.05,competitor,competitor,0,10.746
21,126,perceptual,0.03,0.05,competitor,target,1,12.032
21,127,numeric,0.1,0.2,target,target,1,5.095
21,128,perceptual,0.03,0.05,target,target,1,8.736
21,129,perceptual,0.1,0.05,competitor,target,1,4.633
21,130,numeric,0.03,0.2,target,competitor,0,6.545
21,131,perceptual,0.1,0.2,competitor,competitor,0,4.492
21,132,perceptual,0.1,0.2,target,target,1,4.286
21,133,perceptual,0.1,0.05,competitor,target,1,5.863
21,134,numeric,0.03,0.2,target,target,1,5.194
21,135,perceptual,0.03,0.2,competitor,decoy,0,7.03
21,136,perceptual,0.03,0.2,target,target,1,9.023
21,137,perceptual,0.1,0.05,target,target,1,7.763
21,138,numeric,0.03,0.2,competitor,target,1,8.929
21,139,numeric,0.03,0.05,target,target,1,4.95
21,140,perceptual,0.03,0.05,target,target,1,4.696
21,141,perceptual,0.03,0.05,target,target,1,5.272
21,142,perceptual,0.1,0.05,competitor,target,1,17.729
21,143,numeric,0.1,0.2,competitor,competitor,0,5.929
21,144,numeric,0.03,0.2,target,target,1,5.741
21,145,perceptual,0.1,0.05,competitor,target,1,5.555
21,146,numeric,0.03,0.05,competitor,competitor,0,4.956
21,147,perceptual,0.03,0.2,target,competitor,0,5.904
21,148,numeric,0.1,0.2,competitor,target,1,4.013
21,149,numeric,0.1,0.2,competitor,competitor,0,6.052
21,150,numeric,0.03,0.05,target,competitor,0,5.344
21,151,perceptual,0.03,0.2,competitor,competitor,0,4.249
21,152,numeric,0.1,0.2,competitor,target,1,7.832
21,153,numeric,0.1,0.2,target,target,1,5.188
21,154,numeric,0.1,0.05,competitor,competitor,0,5.479
21,155,numeric,0.03,0.05,target,target,1,11.435
21,156,numeric,0.1,0.2,competitor,target,1,5.075
21,157,numeric,0.1,0.05,competitor,target,1,7.84
21,158,perceptual,0.1,0.05,competitor,competitor,0,6.792
21,159,perceptual,0.1,0.05,competitor,competitor,0,5.556
21,160,numeric,0.1,0.05,target,target,1,5.822
21,161,perceptual,0.03,0.2,target,target,1,5.157
21,162,numeric,0.1,0.2,target,target,1,4.947
21,163,numeric,0.03,0.05,competitor,competitor,0,3.899
21,164,perceptual,0.03,0.2,target,target,1,4.49
21,165,perceptual,0.1,0.05,target,target,1,5.257
21,166,perceptual,0.1,0.2,competitor,target,1,3.108
21,167,perceptual,0.03,0.2,target,target,1,3.209
21,168,perceptual,0.1,0.05,competitor,target,1,3.603
21,169,numeric,0.03,0.05,competitor,competitor,0,4.712
21,170,perceptual,0.03,0.05,competitor,target,1,8.226
21,171,perceptual,0.1,0.2,competitor,target,1,13.432
21,172,numeric,0.03,0.05,competitor,target,1,5.916
21,173,perceptual,0.1,0.05,target,target,1,10.833
21,174,numeric,0.03,0.2,target,target,1,4.647
21,175,numeric,0.03,0.2,competitor,competitor,0,7.476
21,176,numeric,0.03,0.05,competitor,target,1,6.479
21,177,numeric,0.1,0.2,target,target,1,4.385
21,178,numeric,0.03,0.05,target,target,1,7.531
21,179,perceptual,0.03,0.2,target,target,1,7.736
21,180,numeric,0.1,0.2,target,target,1,5.734
21,181,perceptual,0.03,0.05,competitor,target,1,4.529
21,182,numeric,0.1,0.05,target,decoy,0,5.006
21,183,numeric,0.03,0.05,target,target,1,5.954
21,184,perceptual,0.1,0.2,competitor,target,1,3.246
21,185,numeric,0.1,0.05,target,target,1,5.844
21,186,perceptual,0.03,0.2,competitor,target,1,5.335
21,187,perceptual,0.1,0.2,target,target,1,4.467
21,188,numeric,0.03,0.2,competitor,target,1,13.695
21,189,perceptual,0.03,0.2,target,target,1,5.171
21,190,perceptual,0.03,0.2,competitor,target,1,9.965
